name,address,pincode,lat,lon,fee_type,vaccine_fees,date,available_capacity_dose1,available_capacity_dose2,min_age_limit,vaccine,slots
Ward 113 Bbmp Ward Office,Opp UPHC Beside Indira Canteen,560008,12,77,Free,free,03-06-2021,61,28,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 89 BBMP BOYS HIGH SCHOOL,NEAR GUNDAPPA PARK Ulsoor,560008,12,77,Free,free,03-06-2021,48,28,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 89 BBMP BOYS HIGH SCHOOL,NEAR GUNDAPPA PARK Ulsoor,560008,12,77,Free,free,04-06-2021,68,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 89 BBMP BOYS HIGH SCHOOL,NEAR GUNDAPPA PARK Ulsoor,560008,12,77,Free,free,05-06-2021,70,29,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 89 BBMP BOYS HIGH SCHOOL,NEAR GUNDAPPA PARK Ulsoor,560008,12,77,Free,free,06-06-2021,68,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 88 Govt School,9th Crossnear Venugopal Swamy Templekodihalli,560008,12,77,Free,free,03-06-2021,60,28,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 88 Govt School,9th Crossnear Venugopal Swamy Templekodihalli,560008,12,77,Free,free,04-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 88 Govt School,9th Crossnear Venugopal Swamy Templekodihalli,560008,12,77,Free,free,05-06-2021,68,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 88 Govt School,9th Crossnear Venugopal Swamy Templekodihalli,560008,12,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Shiva Nagar 107,Gangamma Thimaiah Government School 2nd Main Road Shivanagar Bangalore 560010,560010,12,77,Free,free,03-06-2021,5,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Shiva Nagar 107,Gangamma Thimaiah Government School 2nd Main Road Shivanagar Bangalore 560010,560010,12,77,Free,free,04-06-2021,0,7,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
ESIC HOSPITAL RAJAJINAGAR,41ST CROSS RAJAJINAGAR BANGALORE,560010,12,77,Free,free,04-06-2021,93,23,45,COVISHIELD,09:00AM-10:00AM|10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM
Rajajinagar UPHC,57th Cross5th Block Rajajinagar,560010,12,77,Free,free,04-06-2021,2,8,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Nagapura Ward 67,118K1st BlockRajajinagar BengaluruKarnataka 560010,560010,13,77,Free,free,04-06-2021,4,9,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Manjunathanagar UPHC,1st Main Road Manjunathanagar Banglore-560010,560010,12,77,Free,free,04-06-2021,0,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
ST THERESAS HOSPITAL,DR RAJ KUMAR ROAD 1ST BLOCK RAJAJINAGAR BANGALORE,560010,12,77,Paid,COVISHIELD:850,07-06-2021,1,9,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Apollo Hospital-JAYANAGAR,No.21-2 14th Cross Road Near Madhavan Park Circle Jayanagar East Jayanagar Bengaluru Karnataka 560011,560011,12,77,Paid,COVISHIELD:850,03-06-2021,237,91,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-05:00PM
BYATARAYANAPURA UPHC,Kuvempunagara,560014,13,77,Free,free,04-06-2021,47,15,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
ABBIGERE UPHC 1,NEAR ABBIGERE PARK ABBIGERE,560015,0,0,Free,free,04-06-2021,44,35,45,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-05:00PM
ABBIGERE UPHC 1,NEAR ABBIGERE PARK ABBIGERE,560015,0,0,Free,free,05-06-2021,51,31,45,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-05:00PM
ABBIGERE UPHC 1,NEAR ABBIGERE PARK ABBIGERE,560015,0,0,Free,free,06-06-2021,55,38,45,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-05:00PM
ABBIGERE UPHC 1,NEAR ABBIGERE PARK ABBIGERE,560015,0,0,Free,free,07-06-2021,66,31,45,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-05:00PM
BBMP Ward Office A Narayanpura,BBMP Officeward 56near Hanuman Park A Narayanapura,560016,12,77,Free,free,04-06-2021,0,3,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Corporator Office Vijinapura,Corporator Office Near Lakshmi Theater Vijinapura,560016,13,77,Free,free,04-06-2021,0,9,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
SLV Samudaya Bhavana RM Nagar,Bovi Colony Anganwadi Center Opp Samudaya Bhavana Rammurthynagar,560016,13,77,Free,free,04-06-2021,0,6,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Indian Red Cross Society UPHC,Sirsi Circle Chamarajpet,560018,0,0,Free,free,04-06-2021,1,2,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Anjanappa Garden UPHC,Behind Banana Market Anjanappa Garden,560018,12,77,Free,free,04-06-2021,2,7,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Kodandarampura UPHC,Sirur Park Road Seshadripuram Bangalore,560020,12,77,Free,free,03-06-2021,1,8,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Kodandarampura UPHC,Sirur Park Road Seshadripuram Bangalore,560020,12,77,Free,free,04-06-2021,4,8,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Subhashnagar UPHC,5th Main Road Opposite BBMP School Srirampur,560021,12,77,Free,free,03-06-2021,9,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Subhashnagar UPHC,5th Main Road Opposite BBMP School Srirampur,560021,12,77,Free,free,04-06-2021,8,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Subramanyanagar UPHC,9th MainNear GD Park Mariyappanapalya,560021,12,77,Free,free,03-06-2021,6,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Subramanyanagar UPHC,9th MainNear GD Park Mariyappanapalya,560021,12,77,Free,free,04-06-2021,0,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Subramanyanagara Ward 66,No.3773 A E Block 2nd Stage Rajaji Nagar Banglore-560021,560021,13,77,Free,free,03-06-2021,6,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Subramanyanagara Ward 66,No.3773 A E Block 2nd Stage Rajaji Nagar Banglore-560021,560021,13,77,Free,free,04-06-2021,5,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Gandhi Grama UPHC,3rd CrossGandhi Grama Near East West Academy School,560021,13,77,Free,free,03-06-2021,2,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Gandhi Grama UPHC,3rd CrossGandhi Grama Near East West Academy School,560021,13,77,Free,free,04-06-2021,0,7,45,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-06:00PM
R C Pura UPHC,Near Srirmpur Refferal Hospital,560021,12,77,Free,free,04-06-2021,7,10,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
